Neighborhood,GrLivArea,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,LotArea,MSZoning,SalePrice
Edwards,1986,5,1981,2010,343.0,1365,621,3,1,5,TA,3,531.0,7443,RL,336902
Blueste,539,8,1993,2010,1447.0,221,318,3,0,4,TA,1,145.0,15809,RM,356059
ClearCr,2060,1,1947,1965,365.0,1133,927,1,0,2,Gd,1,137.0,11358,FV,264909
Timber,3832,3,1909,1921,1143.0,2493,1339,1,1,5,Gd,0,0.0,9696,FV,441332
Veenker,1918,3,1981,2010,608.0,879,1039,2,0,3,Gd,2,330.0,13071,FV,305971
CollgCr,1454,9,1937,1957,656.0,1060,394,3,0,2,Gd,3,405.0,6572,RL,456282
Edwards,3797,5,1918,1954,727.0,1875,1922,3,1,3,Gd,0,0.0,12666,RL,454612
NAmes,1483,9,1935,1961,228.0,980,503,1,1,3,TA,0,0.0,16724,RL,390999
Mitchel,3695,9,1958,1986,824.0,2076,1619,1,1,3,TA,3,345.0,14728,RL,603549
Mitchel,1474,1,1962,1981,1153.0,941,533,3,0,2,TA,2,226.0,17324,FV,245681
BrDale,537,2,1976,2000,1375.0,237,300,2,0,5,Gd,3,537.0,5047,C (all),187997
BrkSide,2875,5,1945,1950,888.0,1169,1706,1,1,1,TA,0,0.0,10597,RL,390119
BrkSide,1774,4,1902,1937,1341.0,1355,419,3,1,5,Gd,0,0.0,2907,RL,285418
Crawfor,1699,10,1973,1974,983.0,862,837,3,0,2,Ex,1,103.0,17750,RL,625745
StoneBr,2125,9,2001,2010,1672.0,1546,579,2,0,1,TA,3,678.0,16835,RL,621325
Edwards,1413,7,1964,1995,835.0,1130,283,2,1,1,Gd,3,465.0,8945,RM,388020
Edwards,953,6,1990,2005,1360.0,461,492,1,1,1,TA,3,315.0,10770,RL,325030
Crawfor,536,7,2009,2010,1296.0,271,265,1,1,4,TA,0,0.0,5458,RL,305338
ClearCr,3887,1,1907,1911,116.0,2585,1302,1,1,2,Fa,2,456.0,10305,RL,341744
SWISU,2211,1,1950,1985,817.0,1738,473,3,0,4,Fa,0,,18086,RL,233082
Blmngtn,3520,8,2009,2010,367.0,2697,823,1,0,1,Ex,1,156.0,9225,RH,629932
SWISU,1295,2,2005,2010,1117.0,778,517,3,0,4,Fa,0,0.0,14940,RL,209210
CollgCr,1472,10,1980,1998,167.0,1056,416,1,0,4,TA,0,0.0,5466,FV,589459
SWISU,1092,9,1972,1994,953.0,496,596,2,1,2,TA,0,0.0,16376,RL,404278
ClearCr,1637,7,1905,1938,1738.0,1294,343,2,0,3,Ex,1,120.0,10578,RL,484286
NridgHt,3611,6,2006,2010,1364.0,2837,774,3,1,4,TA,3,396.0,2071,RL,570478
Timber,1824,1,1988,2010,660.0,849,975,2,0,4,Gd,2,242.0,12740,RM,296929
OldTown,2771,1,1938,1966,1937.0,1440,1331,3,0,1,TA,2,418.0,9467,RL,302899
NoRidge,817,2,1959,1994,694.0,359,458,3,0,1,Ex,1,103.0,2856,RL,255950
Somerst,2896,6,1927,1948,924.0,1473,1423,2,1,1,TA,3,717.0,12450,RL,428794
OldTown,2662,6,1996,2010,151.0,1933,729,3,0,5,Gd,3,519.0,2451,RL,433700
ClearCr,3245,2,1953,1988,585.0,1789,1456,2,1,4,Gd,1,218.0,18901,RL,379405
Crawfor,1846,1,1936,1944,1900.0,803,1043,1,1,1,Gd,0,0.0,13834,RL,270583
Edwards,2091,10,1908,1946,912.0,1122,969,1,0,2,Gd,3,492.0,9339,RL,589127
Blueste,3611,5,1981,1999,273.0,2861,750,2,1,5,Gd,2,328.0,19726,RL,529124
Crawfor,2389,5,1955,1992,1577.0,1557,832,2,0,3,Gd,1,109.0,15959,RL,408536
Blueste,2587,2,1958,1963,495.0,1465,1122,2,1,4,TA,2,490.0,7603,RL,333420
Gilbert,2496,6,1984,2010,1747.0,1164,1332,2,0,4,TA,0,0.0,19797,RH,426725
IDOTRR,2272,9,1901,1915,100.0,1805,467,1,1,2,TA,1,165.0,4277,RL,457209
Gilbert,1812,2,1960,1979,556.0,1319,493,3,1,3,Ex,2,296.0,13841,FV,274514
Veenker,1785,10,1957,1965,1105.0,914,871,3,0,3,Gd,2,242.0,1722,RL,552538
Blmngtn,715,2,2006,2010,1552.0,306,409,1,0,5,Gd,0,0.0,13285,RM,212771
Crawfor,3718,3,1959,1962,72.0,1571,2147,3,0,4,Fa,1,125.0,17774,RL,344802
Edwards,2883,7,2001,2010,1037.0,1292,1591,1,0,1,TA,3,708.0,4672,RL,424148
BrkSide,3739,6,1939,1956,1456.0,2364,1375,3,1,2,Gd,3,744.0,17383,RM,486030
NoRidge,2639,8,1935,1939,156.0,2036,603,2,1,2,Ex,2,388.0,3242,RM,542735
CollgCr,2900,8,2006,2010,734.0,1736,1164,2,1,2,TA,0,0.0,11250,RM,565916
NoRidge,3118,6,1936,1958,131.0,2298,820,2,1,2,TA,2,466.0,17582,RM,397447
CollgCr,3363,10,1978,1988,1361.0,1945,1418,1,0,1,TA,0,0.0,17781,RL,557467
IDOTRR,2204,3,1991,2010,1018.0,1506,698,1,1,1,TA,3,510.0,2779,RL,248365
NPkVill,3328,3,1917,1938,1427.0,2305,1023,3,0,5,Gd,2,348.0,5926,RL,355163
Edwards,862,1,1997,2000,1399.0,404,458,3,1,4,Gd,2,438.0,12077,C (all),215432
ClearCr,3104,7,1962,1990,1911.0,1690,1414,3,0,1,Gd,0,0.0,6447,RL,498049
SWISU,3916,5,1921,1964,558.0,2564,1352,1,0,5,Gd,1,150.0,6743,FV,428064
OldTown,2216,4,1910,1943,106.0,949,1267,3,0,3,Gd,0,0.0,1379,RL,260594
NWAmes,1693,10,1957,1969,1643.0,922,771,2,0,4,TA,1,242.0,6877,RL,459999
Crawfor,855,4,1956,1997,264.0,524,331,3,0,1,Gd,3,405.0,14201,RL,267072
Timber,690,4,1976,1984,1228.0,550,140,2,1,3,Gd,2,434.0,3523,RL,267392
CollgCr,2969,6,1903,1944,1102.0,1751,1218,1,0,5,Gd,2,206.0,3869,RM,423778
Edwards,1199,8,1985,2010,154.0,870,329,2,1,1,Gd,0,0.0,11264,RL,385247
NAmes,2554,8,1906,1912,1806.0,1462,1092,2,1,1,Gd,0,0.0,15068,FV,504050
StoneBr,2680,5,1960,1963,987.0,1925,755,2,0,3,TA,3,594.0,18807,RM,386087
Blmngtn,1056,6,2006,2010,,673,383,1,1,1,TA,3,663.0,17549,RL,306540
BrDale,1325,4,1953,1994,246.0,999,326,1,1,2,Gd,1,216.0,3923,C (all),258996
Blmngtn,3308,9,1987,2010,530.0,1866,1442,1,1,1,TA,3,585.0,2703,RL,581588
IDOTRR,1554,8,1967,1997,857.0,997,557,1,0,4,Ex,3,498.0,18015,RL,496638
Somerst,3082,10,1991,2010,1971.0,2009,1073,3,0,3,TA,3,,8785,RL,641536
Somerst,925,10,1978,1998,537.0,524,401,1,0,4,Gd,3,342.0,13100,RL,520036
SawyerW,3965,1,1900,1930,728.0,1814,2151,2,0,5,Gd,1,116.0,18423,RL,412915
StoneBr,3219,2,1954,1972,1177.0,1408,1811,1,1,4,TA,3,351.0,14098,C (all),362985
Blmngtn,2910,9,1902,1932,153.0,1183,1727,3,1,2,Gd,1,214.0,6280,RL,612289
OldTown,2074,8,1977,2008,1709.0,1554,520,3,1,2,Ex,0,0.0,5178,RL,449442
Veenker,2629,3,1937,1938,91.0,1300,1329,3,1,4,Gd,2,350.0,3249,RL,307695
NPkVill,2903,8,1900,1909,1456.0,1406,1497,2,1,5,Gd,0,0.0,19812,RL,467041
CollgCr,3829,1,2001,2002,337.0,2658,1171,1,1,1,Gd,3,570.0,19838,RM,475741
MeadowV,1088,10,1937,1938,1503.0,574,514,1,0,2,TA,2,294.0,18921,RM,491830
CollgCr,2512,4,1984,2007,1716.0,1513,999,1,1,4,TA,3,342.0,11258,RL,370010
Mitchel,2047,3,1928,1944,1154.0,951,1096,2,1,4,TA,3,666.0,9997,C (all),298739
Edwards,794,6,1904,1935,449.0,622,172,2,1,4,Gd,0,0.0,16793,RL,284850
StoneBr,2485,7,1973,1988,809.0,1840,645,3,0,1,Gd,3,591.0,11333,RL,502676
NoRidge,1747,4,1991,2006,786.0,1302,445,3,1,3,Gd,0,,10886,RL,355144
Crawfor,2048,7,1920,1965,272.0,1152,896,1,1,5,Gd,3,420.0,1556,RL,394645
Timber,3617,9,1970,2008,1952.0,2549,1068,2,0,3,TA,1,,3020,C (all),573863
Timber,2190,2,1966,1996,587.0,1002,1188,2,1,5,Gd,2,334.0,14541,RL,313046
NAmes,1636,3,2008,2010,176.0,660,976,1,0,5,TA,0,0.0,17534,RL,238470
IDOTRR,1756,5,1946,1969,1719.0,716,1040,1,0,4,Gd,0,0.0,8376,RL,331120
NPkVill,2564,3,1983,1983,830.0,1627,937,3,1,2,Gd,2,442.0,2371,RL,320646
Somerst,859,8,1982,1992,642.0,500,359,3,1,4,Ex,0,0.0,2922,RL,423373
Crawfor,3794,10,1934,1954,1898.0,2303,1491,3,0,1,Ex,2,242.0,3366,RL,646389
BrkSide,3413,8,1967,1970,1072.0,1375,2038,1,1,5,Gd,1,205.0,9942,FV,554375
Mitchel,1199,8,1968,1974,566.0,682,517,1,1,2,Gd,3,318.0,2197,RM,399442
SWISU,947,9,1900,1925,665.0,650,297,3,0,5,Ex,1,249.0,9573,RL,496781
Timber,3403,4,1967,2010,1378.0,1963,1440,3,0,5,TA,3,435.0,7081,RM,447606
IDOTRR,2912,5,1911,1960,1735.0,2017,895,2,1,4,TA,2,,14922,RL,386410
NPkVill,1174,5,1959,1970,1331.0,579,595,2,0,2,Ex,1,225.0,14584,RL,288505
Crawfor,1507,8,1926,1956,867.0,1092,415,3,1,2,Gd,3,600.0,11699,RL,429159
CollgCr,1849,7,1955,1971,1908.0,1174,675,3,1,5,TA,2,486.0,11183,RL,463067
ClearCr,3014,9,2005,2010,1653.0,1459,1555,2,1,2,Fa,3,534.0,10671,C (all),540706
NPkVill,2961,8,1922,1932,1798.0,1464,1497,3,1,2,TA,0,0.0,12007,RL,466508
BrDale,1085,2,1924,1951,1069.0,706,379,2,0,4,Gd,0,0.0,9388,RM,199749
CollgCr,1756,10,1920,1951,301.0,1285,471,2,1,3,TA,2,244.0,14440,RL,463616
Crawfor,1747,4,1960,1960,867.0,989,758,2,0,1,TA,3,519.0,18145,RL,312265
Gilbert,1493,6,1962,2008,911.0,751,742,1,1,3,Gd,0,0.0,12393,RM,365759
Blueste,1935,2,1951,1978,407.0,1445,490,1,1,2,TA,1,181.0,17800,RL,253445
Sawyer,1071,7,1987,2010,1212.0,715,356,3,0,5,Gd,3,,7085,RL,333441
Blmngtn,2882,3,1924,1930,821.0,1669,1213,2,1,1,Fa,3,321.0,7807,RL,277138
Crawfor,1745,3,2008,2009,1853.0,1038,707,1,0,1,TA,0,0.0,7130,RL,277187
OldTown,2584,2,1954,1995,1152.0,1244,1340,3,0,5,TA,0,0.0,5861,FV,302876
IDOTRR,1488,8,1945,1968,560.0,968,520,3,1,1,TA,2,242.0,15819,RL,403580
SWISU,777,6,1931,1934,1560.0,422,355,3,1,5,Gd,3,513.0,1959,RL,281775
Gilbert,1719,1,1954,1997,1289.0,1372,347,3,1,1,TA,1,186.0,19806,C (all),274106
MeadowV,3463,1,1995,2010,1141.0,2050,1413,3,1,3,TA,0,0.0,12835,RL,319282
Blmngtn,2387,7,1904,1929,463.0,1418,969,2,0,1,TA,3,,15302,RL,443292
BrDale,983,8,1935,1945,143.0,615,368,3,1,4,TA,0,0.0,19270,RL,359673
Veenker,1765,5,2009,2010,441.0,1353,412,2,1,5,TA,2,386.0,5982,RL,327233
Sawyer,3895,5,2005,2010,1223.0,2805,1090,1,1,1,Fa,3,354.0,17002,RL,430512
Veenker,1230,4,1948,1990,1180.0,713,517,3,1,5,TA,3,681.0,12239,RL,275561
Timber,2739,6,2005,2010,486.0,1883,856,1,1,4,TA,2,372.0,10126,C (all),461500
OldTown,1540,6,1957,2001,859.0,977,563,2,0,1,Gd,1,181.0,6549,RL,336685
CollgCr,3071,3,1938,1940,,1833,1238,2,1,1,TA,0,0.0,13945,RL,326183
BrkSide,1417,9,1979,1990,1935.0,675,742,1,0,4,Gd,2,392.0,19568,RL,480234
NridgHt,2948,7,1996,1998,147.0,1726,1222,3,1,4,Gd,3,453.0,11010,RL,543024
Blmngtn,1385,1,1984,2010,1359.0,690,695,3,1,4,Gd,2,362.0,10113,FV,260284
Edwards,3252,7,1960,1986,1094.0,2490,762,1,1,5,TA,3,588.0,14069,RL,465911
NWAmes,521,5,1908,1956,1256.0,278,243,1,0,4,TA,2,468.0,15461,RL,228624
Sawyer,973,5,1905,1906,1357.0,759,214,1,1,5,TA,1,,11029,RL,244121
BrDale,3691,2,2008,2010,810.0,2263,1428,3,0,3,Gd,3,573.0,16980,RL,374552
Crawfor,2757,4,1934,1949,665.0,1799,958,3,0,1,TA,2,200.0,17447,RL,364009
Gilbert,2853,6,1938,1939,89.0,1760,1093,3,1,1,TA,1,162.0,11562,RL,349923
Blueste,3841,10,1921,1950,1357.0,1735,2106,1,0,2,Gd,1,118.0,3665,RL,614151
SWISU,1203,7,1940,1959,198.0,662,541,3,1,3,Gd,0,0.0,14495,RL,322198
SawyerW,1186,5,1904,1941,1184.0,521,665,2,1,4,Gd,3,528.0,12337,RL,277702
NWAmes,784,9,1941,1968,537.0,508,276,1,0,4,TA,0,0.0,12530,RL,415268
Blueste,1215,3,1986,2010,1144.0,703,512,3,1,3,TA,1,,18538,RL,251019
NoRidge,1262,1,1980,2010,300.0,897,365,1,1,4,Gd,0,0.0,16852,FV,267289
SawyerW,1750,4,1975,1984,723.0,854,896,2,0,2,Fa,0,0.0,4028,RL,244580
ClearCr,1447,9,1986,2010,,674,773,2,0,5,Ex,2,426.0,18599,FV,556138
CollgCr,2928,4,1979,2010,962.0,1647,1281,1,0,1,Gd,0,0.0,16777,RL,361328
OldTown,3007,2,1966,1998,1459.0,2317,690,1,0,3,Gd,1,111.0,6238,RM,313167
IDOTRR,1530,10,1929,1941,67.0,1046,484,2,0,1,Ex,0,,1431,RL,532462
Edwards,528,5,1956,1996,1788.0,299,229,1,0,5,Gd,3,714.0,1593,RL,244420
IDOTRR,1406,3,1985,2010,1945.0,853,553,2,1,3,Gd,2,392.0,16027,RL,287737
NAmes,3604,9,1972,2010,458.0,1563,2041,2,0,5,TA,1,246.0,11788,RL,648496
StoneBr,3426,4,1928,1964,1537.0,2719,707,3,0,4,Gd,0,0.0,8146,RL,393040
BrDale,2626,6,1936,1951,397.0,1750,876,1,1,4,TA,3,423.0,8884,RL,428825
MeadowV,3494,2,1986,2010,619.0,1796,1698,1,1,4,TA,1,197.0,17970,RL,309376
Veenker,3006,6,1912,1933,1309.0,1906,1100,3,0,5,Gd,0,0.0,9941,RL,463977
Veenker,1069,3,1931,1950,1584.0,474,595,2,0,5,TA,2,202.0,12732,RL,224679
BrDale,2506,9,1945,1994,,1970,536,1,1,5,Ex,0,0.0,12195,RL,592107
Blmngtn,1953,2,1922,1964,729.0,917,1036,3,0,1,TA,1,237.0,6603,RL,212417
StoneBr,1237,9,1944,1970,555.0,815,422,3,0,5,Fa,1,204.0,9744,RL,321616
Blueste,3856,5,1916,1956,1952.0,1920,1936,1,1,4,Gd,1,235.0,10911,RL,476788
Blmngtn,1015,8,2003,2010,780.0,697,318,3,0,2,Fa,3,522.0,11828,RL,361048
Blmngtn,2500,2,1984,2010,1613.0,1776,724,2,1,5,TA,0,0.0,18919,RL,354126
Timber,3670,6,1965,1996,1751.0,2456,1214,3,0,2,Fa,0,0.0,2299,RL,432443
ClearCr,2944,3,2000,2010,893.0,1901,1043,2,1,4,TA,0,0.0,5060,FV,326144
Sawyer,538,10,1905,1929,609.0,407,131,2,1,5,Gd,2,452.0,5416,RL,427756
Somerst,3842,5,2007,2008,747.0,1657,2185,1,1,1,TA,3,324.0,5711,FV,602660
MeadowV,1386,8,1917,1928,281.0,737,649,3,0,1,Gd,3,342.0,11662,RL,360637
Blmngtn,3344,10,1993,2010,660.0,1669,1675,2,1,2,Gd,2,392.0,12413,FV,715603
NridgHt,2704,1,1921,1929,923.0,2150,554,2,0,1,Gd,3,612.0,4983,RM,344637
Mitchel,1598,5,1932,1943,1839.0,888,710,3,1,1,Gd,2,324.0,19945,RL,364062
CollgCr,3431,3,1929,1954,995.0,2377,1054,2,1,1,TA,1,120.0,16282,RL,396286
OldTown,2323,4,1980,1988,1959.0,1565,758,3,1,4,TA,1,104.0,3153,RL,322841
NPkVill,3701,2,2006,2010,1601.0,1794,1907,1,0,1,Fa,3,672.0,14379,RL,325452
NAmes,2210,9,1931,1962,745.0,1095,1115,2,0,3,Ex,1,,8195,FV,566024
NAmes,1473,3,1941,1974,1480.0,754,719,2,1,5,Fa,1,212.0,14235,FV,223867
Mitchel,3655,2,1977,2010,86.0,2063,1592,3,0,1,Fa,1,179.0,13852,RM,332823
NWAmes,3593,10,1909,1928,1102.0,1773,1820,3,0,1,Ex,0,0.0,17353,C (all),750000
NoRidge,2062,9,1935,1973,1228.0,841,1221,3,0,1,Gd,1,196.0,2162,FV,518118
Somerst,3396,7,1933,1934,790.0,2552,844,3,1,3,TA,0,0.0,5827,RL,459203
SawyerW,3953,6,1972,1972,1360.0,3108,845,2,0,1,TA,2,358.0,13547,RL,547896
ClearCr,3295,1,2005,2010,1277.0,1768,1527,1,1,1,TA,2,276.0,18903,RL,377373
MeadowV,1488,5,1927,1950,303.0,796,692,1,1,5,TA,2,440.0,5095,RL,236785
Crawfor,520,3,1910,1936,1403.0,209,311,1,1,3,Gd,2,446.0,14096,RL,198253
BrDale,2850,1,1977,1978,129.0,1915,935,1,0,3,Ex,2,484.0,14034,RL,356568
OldTown,1368,4,1938,1968,595.0,998,370,3,1,1,TA,1,105.0,1827,RL,222168
ClearCr,583,2,1946,1959,,267,316,2,0,3,Ex,1,155.0,4222,RL,201721
Edwards,2182,2,1918,1919,1722.0,1012,1170,2,0,2,TA,1,148.0,7149,C (all),260585
SawyerW,2476,3,1914,1942,557.0,1772,704,2,1,3,TA,2,382.0,18846,RL,278765
Gilbert,1910,8,1927,1941,898.0,1234,676,3,1,3,TA,2,456.0,14256,RL,432915
Sawyer,2030,8,1923,1934,,848,1182,2,1,3,Fa,0,0.0,18530,RM,393691
StoneBr,3828,7,1971,2007,1291.0,2484,1344,3,0,4,Gd,3,381.0,8259,RL,562095
Timber,1069,6,2006,2010,1831.0,559,510,2,0,4,TA,1,199.0,4386,RL,331027
SWISU,1433,9,1908,1927,1345.0,784,649,1,1,4,TA,3,741.0,11262,RL,493136
StoneBr,3733,4,1946,1984,1535.0,2642,1091,3,1,3,Fa,2,342.0,16719,RL,452588
BrDale,2480,1,1932,1955,1635.0,1796,684,2,0,2,TA,2,328.0,4623,FV,262921
Mitchel,3734,8,1961,1981,77.0,2091,1643,1,0,3,Gd,2,300.0,1745,RL,549352
NPkVill,2355,7,1996,2005,783.0,1834,521,1,1,1,Fa,3,444.0,18709,RL,413214
BrDale,3556,7,1918,1963,1362.0,2000,1556,1,0,2,TA,0,0.0,11263,RL,527862
BrkSide,1292,3,1966,1979,673.0,915,377,3,0,4,Ex,2,222.0,19043,C (all),253608
NAmes,1291,4,1973,2009,1579.0,766,525,3,0,5,TA,0,0.0,16737,RL,275198
NPkVill,2309,10,1939,1956,1532.0,1752,557,2,0,2,TA,0,0.0,18155,RM,587250
CollgCr,1794,9,1946,1969,237.0,1369,425,1,0,4,TA,1,226.0,17711,RL,449004
CollgCr,3039,6,2005,2010,1157.0,1321,1718,2,0,2,Gd,3,339.0,12147,C (all),541652
MeadowV,2755,5,1964,1997,1996.0,2134,621,2,1,2,TA,2,266.0,4536,RM,402550
Veenker,2107,3,1928,1939,1215.0,1538,569,1,0,3,TA,0,0.0,14787,RM,336733
Blmngtn,1583,9,1949,1970,1379.0,1134,449,2,1,1,TA,3,480.0,13148,RL,537245
Edwards,2977,5,1997,2002,277.0,1430,1547,3,1,5,Gd,3,402.0,14455,C (all),411754
Blueste,1484,5,1912,1947,1041.0,1071,413,2,0,4,Gd,2,436.0,12555,RL,312660
OldTown,2180,4,1900,1944,523.0,1613,567,1,1,2,TA,1,164.0,3279,C (all),275195
SawyerW,3880,4,1933,1968,179.0,2000,1880,3,1,5,TA,1,158.0,10307,RL,371103
NPkVill,1019,1,1992,2010,122.0,795,224,3,1,2,Gd,0,0.0,3626,RL,159604
CollgCr,1090,7,1947,1960,1269.0,457,633,2,0,1,Gd,1,246.0,3630,RL,369457
Edwards,1550,9,1976,1991,1757.0,712,838,2,1,5,Ex,1,141.0,2302,RL,533248
NWAmes,2209,3,1947,1982,1396.0,1358,851,3,0,4,TA,1,168.0,11034,RL,292077
Mitchel,2535,2,1948,1972,1074.0,1597,938,2,1,2,Ex,3,738.0,7748,RL,350757
Blmngtn,2746,3,1963,1994,1094.0,1807,939,1,1,1,Ex,2,412.0,8137,RL,440409
BrDale,2934,1,1960,1992,479.0,1193,1741,2,1,5,Ex,3,414.0,13696,RM,293230
Crawfor,848,6,1928,1972,1583.0,664,184,2,1,2,TA,3,504.0,8654,RL,322885
NAmes,1459,7,1938,1973,1042.0,609,850,3,0,2,Gd,2,222.0,15551,RL,410652
Edwards,2463,2,1987,2006,1797.0,1126,1337,2,1,4,Gd,3,546.0,3829,C (all),347168
StoneBr,1192,8,1925,1942,83.0,483,709,2,1,1,Fa,0,0.0,14509,RL,311818
Mitchel,2059,6,1916,1953,1178.0,1290,769,2,0,3,Gd,0,0.0,19114,RL,373097
Blmngtn,877,4,1970,1972,564.0,677,200,1,0,2,Gd,3,486.0,5212,RL,232933
Blueste,3446,5,1912,1934,618.0,2296,1150,2,0,5,Fa,1,175.0,19216,RL,374648
IDOTRR,3463,8,1968,1999,356.0,2524,939,1,1,4,Gd,3,543.0,19576,RL,516705
Mitchel,1026,3,1925,1969,815.0,415,611,1,0,4,TA,1,150.0,12616,RL,213694
MeadowV,3724,3,1948,1963,646.0,2296,1428,1,0,2,Ex,3,426.0,2721,RH,384121
Timber,3281,4,1966,1970,442.0,1915,1366,1,0,2,TA,0,0.0,14810,RL,375951
IDOTRR,2753,1,1906,1909,1092.0,1650,1103,3,0,2,Gd,1,196.0,12452,RL,324778
ClearCr,3002,9,1957,1977,522.0,1287,1715,1,0,3,TA,0,0.0,6917,RM,586035
Mitchel,3844,8,1948,1987,142.0,2589,1255,2,0,2,Gd,3,735.0,2495,RL,578812
NAmes,1759,8,2002,2010,191.0,1057,702,1,1,1,Gd,2,448.0,7529,RL,392859
Edwards,2375,10,1952,1990,1410.0,1676,699,2,0,5,TA,1,156.0,6605,C (all),578055
Edwards,2263,6,1964,1994,377.0,1344,919,1,1,2,Fa,1,192.0,9377,RL,325906
NPkVill,1020,7,1961,1974,580.0,468,552,3,0,3,Ex,3,624.0,17180,FV,336783
NWAmes,2201,6,1916,1921,534.0,1451,750,1,0,5,TA,3,312.0,10645,RL,375771
NoRidge,1516,9,1942,1953,1716.0,710,806,1,0,4,Gd,1,123.0,18526,RM,490599
CollgCr,3503,3,1924,1939,1316.0,2623,880,3,1,2,TA,2,316.0,6500,RL,337634
Mitchel,3273,3,1902,1918,1032.0,2111,1162,1,0,5,Gd,3,411.0,11174,RL,344784
BrDale,1513,3,1978,2010,1294.0,700,813,2,0,4,TA,3,327.0,1594,RL,201821
Sawyer,3048,10,1928,1950,1410.0,2392,656,1,0,3,Gd,3,675.0,7397,FV,630601
Blmngtn,616,3,2006,2010,92.0,374,242,1,0,1,Gd,2,220.0,7712,RM,182729
Mitchel,2933,9,1931,1937,1989.0,1258,1675,1,1,2,Ex,1,123.0,10136,RL,713968
NoRidge,1867,4,1925,1970,528.0,1214,653,3,1,1,Gd,0,0.0,13125,RH,301976
Veenker,1083,7,1915,1946,1177.0,542,541,1,1,3,Fa,3,639.0,7978,RL,302290
ClearCr,894,9,1924,1938,,645,249,1,1,5,Fa,2,240.0,17035,RL,328934
Sawyer,1587,7,1953,1996,839.0,1153,434,2,1,5,TA,1,,7043,RL,344198
StoneBr,3268,9,1927,1943,1172.0,2586,682,1,0,3,Gd,1,109.0,17794,RM,708280
CollgCr,571,3,1972,2010,888.0,343,228,1,0,3,Gd,2,484.0,10075,RM,240228
SWISU,773,4,1955,2001,1290.0,449,324,1,0,2,TA,3,699.0,12717,RL,227774
Mitchel,2513,8,1964,2007,421.0,1762,751,1,1,4,Fa,0,0.0,10978,FV,415664
SawyerW,1843,6,1992,2010,1863.0,834,1009,2,0,1,Gd,3,663.0,6164,RL,426872
NoRidge,837,5,1985,1989,1641.0,517,320,2,1,1,TA,1,231.0,14767,RL,279862
Edwards,1889,4,1979,2010,471.0,1168,721,3,0,5,Fa,0,0.0,2948,RL,238432
SWISU,1106,8,1940,1966,892.0,481,625,1,1,5,TA,3,336.0,16977,FV,468831
Edwards,665,1,2007,2010,546.0,377,288,3,0,2,Gd,0,,17218,RL,182820
BrDale,2067,9,1950,1989,630.0,1532,535,3,0,3,Ex,2,280.0,3681,RL,574001
Veenker,2558,1,2004,2010,1549.0,1899,659,1,0,1,Gd,3,300.0,17789,RL,415303
Timber,1824,8,1970,1984,1526.0,802,1022,2,0,2,TA,1,210.0,13045,RL,493953
ClearCr,1228,4,1977,2010,1037.0,535,693,2,1,5,Gd,1,111.0,7118,RL,268853
SWISU,3348,9,1928,1960,777.0,1691,1657,1,0,5,Gd,0,0.0,11186,RL,530922
NAmes,2543,5,1982,2010,1675.0,1907,636,1,0,1,TA,2,238.0,1681,FV,365965
Gilbert,601,3,1918,1952,1829.0,271,330,2,0,5,Gd,3,405.0,5656,RL,201001
Crawfor,3996,9,1965,1981,363.0,2749,1247,1,1,5,Gd,2,356.0,7218,RL,641786
CollgCr,1915,9,1940,1967,118.0,843,1072,1,0,4,TA,2,498.0,2616,RM,437947
CollgCr,1278,4,1944,1962,1261.0,829,449,1,0,3,TA,0,0.0,6754,RL,244741
StoneBr,713,4,1914,1959,545.0,386,327,2,0,5,TA,0,0.0,14407,FV,193907
NridgHt,1611,8,1902,1924,1192.0,1152,459,3,0,4,Gd,3,474.0,5374,RL,432622
Mitchel,2076,2,1910,1941,521.0,1024,1052,3,0,2,TA,1,119.0,16111,RL,263816
NAmes,2948,9,1952,1991,633.0,1932,1016,1,1,5,TA,3,675.0,18590,RL,595544
Crawfor,3135,6,1945,1957,1936.0,1549,1586,2,1,2,Ex,2,392.0,8921,C (all),550490
CollgCr,3436,9,1929,1948,1680.0,2355,1081,1,1,5,TA,0,0.0,18346,RH,590836
CollgCr,3617,8,1956,1990,962.0,2710,907,2,0,1,Gd,2,322.0,17426,RL,609019
OldTown,2195,7,2003,2007,957.0,989,1206,1,1,4,Gd,0,0.0,9954,RL,499447
Sawyer,1091,1,1917,1925,1758.0,814,277,2,0,4,Gd,1,192.0,14172,RL,196340
NridgHt,1833,3,1950,1978,882.0,1168,665,2,0,1,Gd,2,380.0,18626,RL,364595
NAmes,1609,2,1947,1952,1792.0,725,884,3,0,3,Gd,0,0.0,16251,RL,230230
SawyerW,2639,5,1965,1989,779.0,1506,1133,1,0,4,TA,3,666.0,9649,RL,327264
NAmes,3220,5,1995,2010,870.0,1495,1725,3,1,2,Gd,3,555.0,19010,RL,450034
IDOTRR,1213,5,1907,1928,515.0,825,388,3,1,4,Fa,3,651.0,12209,RL,225724
Veenker,1435,4,1921,1922,937.0,1009,426,2,1,3,TA,2,250.0,12060,RM,252313
StoneBr,2451,5,1905,1949,1420.0,1084,1367,1,0,2,Gd,0,0.0,12884,RL,380868
Gilbert,741,3,1975,1979,865.0,446,295,2,1,2,Gd,0,0.0,3406,RL,209257
